player,team,year,salary
Danilo Gallinari,ATL,2021,19500000
Bogdan Bogdanović,ATL,2021,18000000
Clint Capela,ATL,2021,16000000
Tony Snell,ATL,2021,12178571
Lou Williams,ATL,2021,8000000
Chandler Parsons,ATL,2020,25102511
Jeff Teague,ATL,2020,19000000
Dewayne Dedmon,ATL,2020,13333334
De'Andre Hunter,ATL,2020,7068360
Trae Young,ATL,2020,6273000
Kent Bazemore,ATL,2019,18089887
Jeremy Lin,ATL,2019,13071063
Miles Plumlee,ATL,2019,12500000
Dewayne Dedmon,ATL,2019,7200000
Trae Young,ATL,2019,5356440
Kent Bazemore,ATL,2018,16910113
Dennis Schröder,ATL,2018,15500000
Miles Plumlee,ATL,2018,12500000
Marco Belinelli,ATL,2018,6306060
Dewayne Dedmon,ATL,2018,6000000
Dwight Howard,ATL,2017,23180275
Paul Millsap,ATL,2017,20072033
Kent Bazemore,ATL,2017,15730338
Ersan İlyasova,ATL,2017,8400000
Mike Dunleavy,ATL,2017,4837500
Paul Millsap,ATL,2016,19000000
Al Horford,ATL,2016,12000000
Tiago Splitter,ATL,2016,8500000
Jeff Teague,ATL,2016,8000000
Kyle Korver,ATL,2016,5746479
Al Horford,ATL,2015,12000000
Paul Millsap,ATL,2015,9500000
Jeff Teague,ATL,2015,8000000
Kyle Korver,ATL,2015,6253521
Thabo Sefolosha,ATL,2015,4150000
Al Horford,ATL,2014,12000000
Paul Millsap,ATL,2014,9500000
Jeff Teague,ATL,2014,8000000
Kyle Korver,ATL,2014,6760563
Lou Williams,ATL,2014,5225000
Josh Smith,ATL,2013,13200000
Al Horford,ATL,2013,12000000
Devin Harris,ATL,2013,8500000
Zaza Pachulia,ATL,2013,5248750
Kyle Korver,ATL,2013,5000000
Joe Johnson,ATL,2012,18038573
Josh Smith,ATL,2012,12400000
Al Horford,ATL,2012,12000000
Kirk Hinrich,ATL,2012,8100000
Marvin Williams,ATL,2012,7500000
Joe Johnson,ATL,2011,16324500
Josh Smith,ATL,2011,11600000
Jamal Crawford,ATL,2011,10800000
Kirk Hinrich,ATL,2011,9000000
Marvin Williams,ATL,2011,6712500
Joe Johnson,ATL,2010,14976754
Josh Smith,ATL,2010,10800000
Jamal Crawford,ATL,2010,9360000
Marvin Williams,ATL,2010,7500000
Mike Bibby,ATL,2010,6217617
Mike Bibby,ATL,2009,14983603
Joe Johnson,ATL,2009,14232567
Josh Smith,ATL,2009,10000000
Speedy Claxton,ATL,2009,5757818
Marvin Williams,ATL,2009,5636143
Mike Bibby,ATL,2008,13500000
Joe Johnson,ATL,2008,13488377
Marvin Williams,ATL,2008,4466040
Zaza Pachulia,ATL,2008,4000000
Al Horford,ATL,2008,3745800
Joe Johnson,ATL,2007,12744189
Speedy Claxton,ATL,2007,6854546
Marvin Williams,ATL,2007,4174800
Zaza Pachulia,ATL,2007,4000000
Tyronn Lue,ATL,2007,3500000
Joe Johnson,ATL,2006,12000000
Al Harrington,ATL,2006,6957500
Zaza Pachulia,ATL,2006,4000000
Marvin Williams,ATL,2006,3883560
Tyronn Lue,ATL,2006,3500000
Antoine Walker,ATL,2005,14625000
Al Harrington,ATL,2005,6325000
Tony Delk,ATL,2005,2700000
Predrag Drobnjak,ATL,2005,2550000
Josh Childress,ATL,2005,2490360
Shareef Abdur-Rahim,ATL,2004,13500000
Theo Ratliff,ATL,2004,10156250
Jason Terry,ATL,2004,8333333
Alan Henderson,ATL,2004,7682188
Nazr Mohammed,ATL,2004,5000000
Shareef Abdur-Rahim,ATL,2003,12375000
Glenn Robinson,ATL,2003,9860000
Theo Ratliff,ATL,2003,9375000
Alan Henderson,ATL,2003,7091250
Nazr Mohammed,ATL,2003,4750000
Shareef Abdur-Rahim,ATL,2002,11250000
Theo Ratliff,ATL,2002,9667969
Toni Kukoč,ATL,2002,7906783
Alan Henderson,ATL,2002,6500312
Nazr Mohammed,ATL,2002,4500000
Dikembe Mutombo,ATL,2001,14400000
Alan Henderson,ATL,2001,5910000
Lorenzen Wright,ATL,2001,4950000
Jim Jackson,ATL,2001,2330000
Chris Crawford,ATL,2001,2200000
Dikembe Mutombo,ATL,2000,12820249
Isaiah Rider,ATL,2000,5410000
Alan Henderson,ATL,2000,5318437
Lorenzen Wright,ATL,2000,4400000
Bimbo Coles,ATL,2000,2300000
James Harden,BRK,2021,41254920
Kevin Durant,BRK,2021,40108950
Kyrie Irving,BRK,2021,33460350
Joe Harris,BRK,2021,16071429
Spencer Dinwiddie,BRK,2021,11454048
Kyrie Irving,BRK,2020,31742000
Spencer Dinwiddie,BRK,2020,10605600
DeAndre Jordan,BRK,2020,9881598
Joe Harris,BRK,2020,7666667
Garrett Temple,BRK,2020,4767000
Allen Crabbe,BRK,2019,18500000
DeMarre Carroll,BRK,2019,15400000
Kenneth Faried,BRK,2019,13764045
Jared Dudley,BRK,2019,9530000
Joe Harris,BRK,2019,8333333
Allen Crabbe,BRK,2018,19332500
Timofey Mozgov,BRK,2018,15280000
DeMarre Carroll,BRK,2018,14800000
Jeremy Lin,BRK,2018,12000000
D'Angelo Russell,BRK,2018,5562360
Brook Lopez,BRK,2017,21165675
Jeremy Lin,BRK,2017,11483254
Trevor Booker,BRK,2017,9250000
Andrew Nicholson,BRK,2017,6088993
Luis Scola,BRK,2017,5000000
Joe Johnson,BRK,2016,24894863
Brook Lopez,BRK,2016,20000000
Thaddeus Young,BRK,2016,11200000
Jarrett Jack,BRK,2016,6300000
Bojan Bogdanović,BRK,2016,3425510
Joe Johnson,BRK,2015,23180790
Deron Williams,BRK,2015,19754465
Brook Lopez,BRK,2015,15719063
Thaddeus Young,BRK,2015,9410870
Jarrett Jack,BRK,2015,6300000
Joe Johnson,BRK,2014,21466718
Deron Williams,BRK,2014,18466130
Paul Pierce,BRK,2014,15333334
Brook Lopez,BRK,2014,14693906
Kevin Garnett,BRK,2014,12443735
Joe Johnson,BRK,2013,19752645
Deron Williams,BRK,2013,17177795
Brook Lopez,BRK,2013,13668750
Kris Humphries,BRK,2013,12000000
Gerald Wallace,BRK,2013,9682435
Deron Williams,NJN,2012,16359805
Mehmet Okur,NJN,2012,10890000
Kris Humphries,NJN,2012,8000000
Jordan Farmar,NJN,2012,4000000
Anthony Morrow,NJN,2012,4000000
Deron Williams,NJN,2011,14940152
Dan Gadzuric,NJN,2011,7248325
Travis Outlaw,NJN,2011,7000000
Sasha Vujačić,NJN,2011,5475113
Anthony Morrow,NJN,2011,4000000
Bobby Simmons,NJN,2010,10560000
Devin Harris,NJN,2010,8400000
Tony Battie,NJN,2010,6292000
Trenton Hassell,NJN,2010,4350000
Rafer Alston,NJN,2010,4300000
Vince Carter,NJN,2009,14724125
Bobby Simmons,NJN,2009,10602667
Devin Harris,NJN,2009,7800000
Stromile Swift,NJN,2009,6200000
Trenton Hassell,NJN,2009,4350000
Vince Carter,NJN,2008,13320000
Richard Jefferson,NJN,2008,12200000
Stromile Swift,NJN,2008,5800000
Trenton Hassell,NJN,2008,4350000
Jamaal Magloire,NJN,2008,4000000
Jason Kidd,NJN,2007,18084000
Vince Carter,NJN,2007,15101625
Richard Jefferson,NJN,2007,11200000
Jason Collins,NJN,2007,5800000
Boštjan Nachbar,NJN,2007,2500000
Jason Kidd,NJN,2006,16440000
Vince Carter,NJN,2006,13843156
Richard Jefferson,NJN,2006,10200000
Jason Collins,NJN,2006,5500000
Marc Jackson,NJN,2006,4550000
Jason Kidd,NJN,2005,14796000
Vince Carter,NJN,2005,12584688
Richard Jefferson,NJN,2005,2266794
Jason Collins,NJN,2005,1887864
Ron Mercer,NJN,2005,1600000
Jason Kidd,NJN,2004,13152000
Kerry Kittles,NJN,2004,9266666
Kenyon Martin,NJN,2004,5128689
Alonzo Mourning,NJN,2004,4917000
Rodney Rogers,NJN,2004,3075600
Dikembe Mutombo,NJN,2003,16105264
Jason Kidd,NJN,2003,9265000
Kerry Kittles,NJN,2003,8966667
Kenyon Martin,NJN,2003,4067160
Rodney Rogers,NJN,2003,2796000
Keith Van Horn,NJN,2002,10865250
Jason Kidd,NJN,2002,8447500
Kerry Kittles,NJN,2002,8166667
Todd MacCulloch,NJN,2002,4538000
Kenyon Martin,NJN,2002,3801960
Stephon Marbury,NJN,2001,10130000
Keith Van Horn,NJN,2001,9000000
Kendall Gill,NJN,2001,7000000
Jim McIlvaine,NJN,2001,5400000
Kenyon Martin,NJN,2001,3536640
Stephon Marbury,NJN,2000,9000000
Kerry Kittles,NJN,2000,7166666
Kendall Gill,NJN,2000,5600000
Jim McIlvaine,NJN,2000,4800000
Keith Van Horn,NJN,2000,3451920
Kemba Walker,BOS,2021,34379100
Jaylen Brown,BOS,2021,23437500
Evan Fournier,BOS,2021,17450000
Marcus Smart,BOS,2021,13446428
Jayson Tatum,BOS,2021,9897120
Kemba Walker,BOS,2020,32742000
Gordon Hayward,BOS,2020,32700690
Marcus Smart,BOS,2020,12053471
Jayson Tatum,BOS,2020,7830000
Jaylen Brown,BOS,2020,6534829
Gordon Hayward,BOS,2019,31214295
Al Horford,BOS,2019,28928710
Kyrie Irving,BOS,2019,20099189
Marcus Smart,BOS,2019,11660716
Jayson Tatum,BOS,2019,6700800
Gordon Hayward,BOS,2018,29727900
Al Horford,BOS,2018,27734405
Kyrie Irving,BOS,2018,18868625
Jayson Tatum,BOS,2018,5645400
Marcus Morris,BOS,2018,5000000
Al Horford,BOS,2017,26540100
Amir Johnson,BOS,2017,12000000
Avery Bradley,BOS,2017,8269663
Tyler Zeller,BOS,2017,8000000
Isaiah Thomas,BOS,2017,6587132
David Lee,BOS,2016,15493680
Amir Johnson,BOS,2016,12000000
Avery Bradley,BOS,2016,7730337
Isaiah Thomas,BOS,2016,6912869
Jae Crowder,BOS,2016,6000000
Gerald Wallace,BOS,2015,10105855
Isaiah Thomas,BOS,2015,7238606
Avery Bradley,BOS,2015,7191011
Brandon Bass,BOS,2015,6900000
Jonas Jerebko,BOS,2015,4500000
Kris Humphries,BOS,2014,12000000
Rajon Rondo,BOS,2014,11954545
Gerald Wallace,BOS,2014,10105855
Jeff Green,BOS,2014,8965000
Brandon Bass,BOS,2014,6450000
Paul Pierce,BOS,2013,16790345
Kevin Garnett,BOS,2013,11566265
Rajon Rondo,BOS,2013,11000000
Jeff Green,BOS,2013,8385000
Brandon Bass,BOS,2013,6000000
Kevin Garnett,BOS,2012,21247044
Paul Pierce,BOS,2012,15333334
Rajon Rondo,BOS,2012,10045455
Ray Allen,BOS,2012,10000000
Jermaine O'Neal,BOS,2012,6226200
Kevin Garnett,BOS,2011,18800000
Paul Pierce,BOS,2011,13876321
Ray Allen,BOS,2011,10000000
Rajon Rondo,BOS,2011,9090911
